numero,texto_quechua
1902,"Waranqa isqon Pachak iskayniyoq"
1903,"Waranqa isqon Pachak kinsayoq"
1904,"Waranqa isqon Pachak tawayoq"
1905,"Waranqa isqon Pachak pisq’ayoq"
1906,"Waranqa isqon Pachak soqtayoq"
1907,"Waranqa isqon Pachak qanchisniyoq"
1908,"Waranqa isqon Pachak pusaqniyoq"
1909,"Waranqa isqon Pachak isqonniyoq"
1910,"Waranqa isqon Pachak Chunka"
1911,"Waranqa isqon Pachak Chunka hukniyoq"
1912,"Waranqa isqon Pachak Chunka iskayniyoq"
1913,"Waranqa isqon Pachak Chunka kinsayoq"
1914,"Waranqa isqon Pachak Chunka tawayoq"
1915,"Waranqa isqon Pachak Chunka pisq’ayoq"
1916,"Waranqa isqon Pachak Chunka soqtayoq"
1917,"Waranqa isqon Pachak Chunka qanchisniyoq"
1918,"Waranqa isqon Pachak Chunka pusaqniyoq"
1919,"Waranqa isqon Pachak Chunka isqonniyoq"
1920,"Waranqa isqon Pachak iskay Chunka"
1921,"Waranqa isqon Pachak iskay Chunka hukniyoq"
1922,"Waranqa isqon Pachak iskay Chunka iskayniyoq"
1923,"Waranqa isqon Pachak iskay Chunka kinsayoq"
1924,"Waranqa isqon Pachak iskay Chunka tawayoq"
1925,"Waranqa isqon Pachak iskay Chunka pisq’ayoq"
1926,"Waranqa isqon Pachak iskay Chunka soqtayoq"
1927,"Waranqa isqon Pachak iskay Chunka qanchisniyoq"
1928,"Waranqa isqon Pachak iskay Chunka pusaqniyoq"
1929,"Waranqa isqon Pachak iskay Chunka isqonniyoq"
1930,"Waranqa isqon Pachak kinsa Chunka"
1931,"Waranqa isqon Pachak kinsa Chunka hukniyoq"
1932,"Waranqa isqon Pachak kinsa Chunka iskayniyoq"
1933,"Waranqa isqon Pachak kinsa Chunka kinsayoq"
1934,"Waranqa isqon Pachak kinsa Chunka tawayoq"
1935,"Waranqa isqon Pachak kinsa Chunka pisq’ayoq"
1936,"Waranqa isqon Pachak kinsa Chunka soqtayoq"
1937,"Waranqa isqon Pachak kinsa Chunka qanchisniyoq"
1938,"Waranqa isqon Pachak kinsa Chunka pusaqniyoq"
1939,"Waranqa isqon Pachak kinsa Chunka isqonniyoq"
1940,"Waranqa isqon Pachak tawa Chunka"
1941,"Waranqa isqon Pachak tawa Chunka hukniyoq"
1942,"Waranqa isqon Pachak tawa Chunka iskayniyoq"
1943,"Waranqa isqon Pachak tawa Chunka kinsayoq"
1944,"Waranqa isqon Pachak tawa Chunka tawayoq"
1945,"Waranqa isqon Pachak tawa Chunka pisq’ayoq"
1946,"Waranqa isqon Pachak tawa Chunka soqtayoq"
1947,"Waranqa isqon Pachak tawa Chunka qanchisniyoq"
1948,"Waranqa isqon Pachak tawa Chunka pusaqniyoq"
1949,"Waranqa isqon Pachak tawa Chunka isqonniyoq"
1950,"Waranqa isqon Pachak pisq’a Chunka"
1951,"Waranqa isqon Pachak pisq’a Chunka hukniyoq"
1952,"Waranqa isqon Pachak pisq’a Chunka iskayniyoq"
1953,"Waranqa isqon Pachak pisq’a Chunka kinsayoq"
1954,"Waranqa isqon Pachak pisq’a Chunka tawayoq"
1955,"Waranqa isqon Pachak pisq’a Chunka pisq’ayoq"
1956,"Waranqa isqon Pachak pisq’a Chunka soqtayoq"
1957,"Waranqa isqon Pachak pisq’a Chunka qanchisniyoq"
1958,"Waranqa isqon Pachak pisq’a Chunka pusaqniyoq"
1959,"Waranqa isqon Pachak pisq’a Chunka isqonniyoq"
1960,"Waranqa isqon Pachak soqta Chunka"
1961,"Waranqa isqon Pachak soqta Chunka hukniyoq"
1962,"Waranqa isqon Pachak soqta Chunka iskayniyoq"
1963,"Waranqa isqon Pachak soqta Chunka kinsayoq"
1964,"Waranqa isqon Pachak soqta Chunka tawayoq"
1965,"Waranqa isqon Pachak soqta Chunka pisq’ayoq"
1966,"Waranqa isqon Pachak soqta Chunka soqtayoq"
1967,"Waranqa isqon Pachak soqta Chunka qanchisniyoq"
1968,"Waranqa isqon Pachak soqta Chunka pusaqniyoq"
1969,"Waranqa isqon Pachak soqta Chunka isqonniyoq"
1970,"Waranqa isqon Pachak qanchis Chunka"
1971,"Waranqa isqon Pachak qanchis Chunka hukniyoq"
1972,"Waranqa isqon Pachak qanchis Chunka iskayniyoq"
1973,"Waranqa isqon Pachak qanchis Chunka kinsayoq"
1974,"Waranqa isqon Pachak qanchis Chunka tawayoq"
1975,"Waranqa isqon Pachak qanchis Chunka pisq’ayoq"
1976,"Waranqa isqon Pachak qanchis Chunka soqtayoq"
1977,"Waranqa isqon Pachak qanchis Chunka qanchisniyoq"
1978,"Waranqa isqon Pachak qanchis Chunka pusaqniyoq"
1979,"Waranqa isqon Pachak qanchis Chunka isqonniyoq"
1980,"Waranqa isqon Pachak pusaq Chunka"
1981,"Waranqa isqon Pachak pusaq Chunka hukniyoq"
1982,"Waranqa isqon Pachak pusaq Chunka iskayniyoq"
1983,"Waranqa isqon Pachak pusaq Chunka kinsayoq"
1984,"Waranqa isqon Pachak pusaq Chunka tawayoq"
1985,"Waranqa isqon Pachak pusaq Chunka pisq’ayoq"
1986,"Waranqa isqon Pachak pusaq Chunka soqtayoq"
1987,"Waranqa isqon Pachak pusaq Chunka qanchisniyoq"
1988,"Waranqa isqon Pachak pusaq Chunka pusaqniyoq"
1989,"Waranqa isqon Pachak pusaq Chunka isqonniyoq"
1990,"Waranqa isqon Pachak isqon Chunka"
1991,"Waranqa isqon Pachak isqon Chunka hukniyoq"
1992,"Waranqa isqon Pachak isqon Chunka iskayniyoq"
1993,"Waranqa isqon Pachak isqon Chunka kinsayoq"
1994,"Waranqa isqon Pachak isqon Chunka tawayoq"
1995,"Waranqa isqon Pachak isqon Chunka pisq’ayoq"
1996,"Waranqa isqon Pachak isqon Chunka soqtayoq"
1997,"Waranqa isqon Pachak isqon Chunka qanchisniyoq"
1998,"Waranqa isqon Pachak isqon Chunka pusaqniyoq"
1999,"Waranqa isqon Pachak isqon Chunka isqonniyoq"
2000,"iskay Waranqa"
2001,"iskay Waranqa hukniyoq"
2002,"iskay Waranqa iskayniyoq"
2003,"iskay Waranqa kinsayoq"
2004,"iskay Waranqa tawayoq"
2005,"iskay Waranqa pisq’ayoq"
2006,"iskay Waranqa soqtayoq"
2007,"iskay Waranqa qanchisniyoq"
2008,"iskay Waranqa pusaqniyoq"
2009,"iskay Waranqa isqonniyoq"
2010,"iskay Waranqa Chunka"
2011,"iskay Waranqa Chunka hukniyoq"
2012,"iskay Waranqa Chunka iskayniyoq"
2013,"iskay Waranqa Chunka kinsayoq"
2014,"iskay Waranqa Chunka tawayoq"
2015,"iskay Waranqa Chunka pisq’ayoq"
2016,"iskay Waranqa Chunka soqtayoq"
2017,"iskay Waranqa Chunka qanchisniyoq"
2018,"iskay Waranqa Chunka pusaqniyoq"
2019,"iskay Waranqa Chunka isqonniyoq"
2020,"iskay Waranqa iskay Chunka"
2021,"iskay Waranqa iskay Chunka hukniyoq"
2022,"iskay Waranqa iskay Chunka iskayniyoq"
2023,"iskay Waranqa iskay Chunka kinsayoq"
2024,"iskay Waranqa iskay Chunka tawayoq"
2025,"iskay Waranqa iskay Chunka pisq’ayoq"
2026,"iskay Waranqa iskay Chunka soqtayoq"
2027,"iskay Waranqa iskay Chunka qanchisniyoq"
2028,"iskay Waranqa iskay Chunka pusaqniyoq"
2029,"iskay Waranqa iskay Chunka isqonniyoq"
2030,"iskay Waranqa kinsa Chunka"
2031,"iskay Waranqa kinsa Chunka hukniyoq"
2032,"iskay Waranqa kinsa Chunka iskayniyoq"
2033,"iskay Waranqa kinsa Chunka kinsayoq"
2034,"iskay Waranqa kinsa Chunka tawayoq"
2035,"iskay Waranqa kinsa Chunka pisq’ayoq"
2036,"iskay Waranqa kinsa Chunka soqtayoq"
2037,"iskay Waranqa kinsa Chunka qanchisniyoq"
2038,"iskay Waranqa kinsa Chunka pusaqniyoq"
2039,"iskay Waranqa kinsa Chunka isqonniyoq"
2040,"iskay Waranqa tawa Chunka"
2041,"iskay Waranqa tawa Chunka hukniyoq"
2042,"iskay Waranqa tawa Chunka iskayniyoq"
2043,"iskay Waranqa tawa Chunka kinsayoq"
2044,"iskay Waranqa tawa Chunka tawayoq"
2045,"iskay Waranqa tawa Chunka pisq’ayoq"
2046,"iskay Waranqa tawa Chunka soqtayoq"
2047,"iskay Waranqa tawa Chunka qanchisniyoq"
2048,"iskay Waranqa tawa Chunka pusaqniyoq"
2049,"iskay Waranqa tawa Chunka isqonniyoq"
2050,"iskay Waranqa pisq’a Chunka"
2051,"iskay Waranqa pisq’a Chunka hukniyoq"
2052,"iskay Waranqa pisq’a Chunka iskayniyoq"
2053,"iskay Waranqa pisq’a Chunka kinsayoq"
2054,"iskay Waranqa pisq’a Chunka tawayoq"
2055,"iskay Waranqa pisq’a Chunka pisq’ayoq"
2056,"iskay Waranqa pisq’a Chunka soqtayoq"
2057,"iskay Waranqa pisq’a Chunka qanchisniyoq"
2058,"iskay Waranqa pisq’a Chunka pusaqniyoq"
2059,"iskay Waranqa pisq’a Chunka isqonniyoq"
2060,"iskay Waranqa soqta Chunka"
2061,"iskay Waranqa soqta Chunka hukniyoq"
2062,"iskay Waranqa soqta Chunka iskayniyoq"
2063,"iskay Waranqa soqta Chunka kinsayoq"
2064,"iskay Waranqa soqta Chunka tawayoq"
2065,"iskay Waranqa soqta Chunka pisq’ayoq"
2066,"iskay Waranqa soqta Chunka soqtayoq"
2067,"iskay Waranqa soqta Chunka qanchisniyoq"
2068,"iskay Waranqa soqta Chunka pusaqniyoq"
2069,"iskay Waranqa soqta Chunka isqonniyoq"
2070,"iskay Waranqa qanchis Chunka"
2071,"iskay Waranqa qanchis Chunka hukniyoq"
2072,"iskay Waranqa qanchis Chunka iskayniyoq"
2073,"iskay Waranqa qanchis Chunka kinsayoq"
2074,"iskay Waranqa qanchis Chunka tawayoq"
2075,"iskay Waranqa qanchis Chunka pisq’ayoq"
2076,"iskay Waranqa qanchis Chunka soqtayoq"
2077,"iskay Waranqa qanchis Chunka qanchisniyoq"
2078,"iskay Waranqa qanchis Chunka pusaqniyoq"
2079,"iskay Waranqa qanchis Chunka isqonniyoq"
2080,"iskay Waranqa pusaq Chunka"
2081,"iskay Waranqa pusaq Chunka hukniyoq"
2082,"iskay Waranqa pusaq Chunka iskayniyoq"
2083,"iskay Waranqa pusaq Chunka kinsayoq"
2084,"iskay Waranqa pusaq Chunka tawayoq"
2085,"iskay Waranqa pusaq Chunka pisq’ayoq"
2086,"iskay Waranqa pusaq Chunka soqtayoq"
2087,"iskay Waranqa pusaq Chunka qanchisniyoq"
2088,"iskay Waranqa pusaq Chunka pusaqniyoq"
2089,"iskay Waranqa pusaq Chunka isqonniyoq"
2090,"iskay Waranqa isqon Chunka"
2091,"iskay Waranqa isqon Chunka hukniyoq"
2092,"iskay Waranqa isqon Chunka iskayniyoq"
2093,"iskay Waranqa isqon Chunka kinsayoq"
2094,"iskay Waranqa isqon Chunka tawayoq"
2095,"iskay Waranqa isqon Chunka pisq’ayoq"
2096,"iskay Waranqa isqon Chunka soqtayoq"
2097,"iskay Waranqa isqon Chunka qanchisniyoq"
2098,"iskay Waranqa isqon Chunka pusaqniyoq"
2099,"iskay Waranqa isqon Chunka isqonniyoq"
2100,"iskay Waranqa Pachak"
2101,"iskay Waranqa Pachak hukniyoq"
2102,"iskay Waranqa Pachak iskayniyoq"
2103,"iskay Waranqa Pachak kinsayoq"
2104,"iskay Waranqa Pachak tawayoq"
2105,"iskay Waranqa Pachak pisq’ayoq"
2106,"iskay Waranqa Pachak soqtayoq"
2107,"iskay Waranqa Pachak qanchisniyoq"
2108,"iskay Waranqa Pachak pusaqniyoq"
2109,"iskay Waranqa Pachak isqonniyoq"
2110,"iskay Waranqa Pachak Chunka"
2111,"iskay Waranqa Pachak Chunka hukniyoq"
2112,"iskay Waranqa Pachak Chunka iskayniyoq"
2113,"iskay Waranqa Pachak Chunka kinsayoq"
2114,"iskay Waranqa Pachak Chunka tawayoq"
2115,"iskay Waranqa Pachak Chunka pisq’ayoq"
2116,"iskay Waranqa Pachak Chunka soqtayoq"
2117,"iskay Waranqa Pachak Chunka qanchisniyoq"
2118,"iskay Waranqa Pachak Chunka pusaqniyoq"
2119,"iskay Waranqa Pachak Chunka isqonniyoq"
2120,"iskay Waranqa Pachak iskay Chunka"
2121,"iskay Waranqa Pachak iskay Chunka hukniyoq"
2122,"iskay Waranqa Pachak iskay Chunka iskayniyoq"
2123,"iskay Waranqa Pachak iskay Chunka kinsayoq"
2124,"iskay Waranqa Pachak iskay Chunka tawayoq"
2125,"iskay Waranqa Pachak iskay Chunka pisq’ayoq"
2126,"iskay Waranqa Pachak iskay Chunka soqtayoq"
2127,"iskay Waranqa Pachak iskay Chunka qanchisniyoq"
2128,"iskay Waranqa Pachak iskay Chunka pusaqniyoq"
2129,"iskay Waranqa Pachak iskay Chunka isqonniyoq"
2130,"iskay Waranqa Pachak kinsa Chunka"
2131,"iskay Waranqa Pachak kinsa Chunka hukniyoq"
2132,"iskay Waranqa Pachak kinsa Chunka iskayniyoq"
2133,"iskay Waranqa Pachak kinsa Chunka kinsayoq"
2134,"iskay Waranqa Pachak kinsa Chunka tawayoq"
2135,"iskay Waranqa Pachak kinsa Chunka pisq’ayoq"
2136,"iskay Waranqa Pachak kinsa Chunka soqtayoq"
2137,"iskay Waranqa Pachak kinsa Chunka qanchisniyoq"
2138,"iskay Waranqa Pachak kinsa Chunka pusaqniyoq"
2139,"iskay Waranqa Pachak kinsa Chunka isqonniyoq"
2140,"iskay Waranqa Pachak tawa Chunka"
2141,"iskay Waranqa Pachak tawa Chunka hukniyoq"
2142,"iskay Waranqa Pachak tawa Chunka iskayniyoq"
2143,"iskay Waranqa Pachak tawa Chunka kinsayoq"
2144,"iskay Waranqa Pachak tawa Chunka tawayoq"
2145,"iskay Waranqa Pachak tawa Chunka pisq’ayoq"
2146,"iskay Waranqa Pachak tawa Chunka soqtayoq"
2147,"iskay Waranqa Pachak tawa Chunka qanchisniyoq"
2148,"iskay Waranqa Pachak tawa Chunka pusaqniyoq"
2149,"iskay Waranqa Pachak tawa Chunka isqonniyoq"
2150,"iskay Waranqa Pachak pisq’a Chunka"
2151,"iskay Waranqa Pachak pisq’a Chunka hukniyoq"
2152,"iskay Waranqa Pachak pisq’a Chunka iskayniyoq"
2153,"iskay Waranqa Pachak pisq’a Chunka kinsayoq"
2154,"iskay Waranqa Pachak pisq’a Chunka tawayoq"
2155,"iskay Waranqa Pachak pisq’a Chunka pisq’ayoq"
2156,"iskay Waranqa Pachak pisq’a Chunka soqtayoq"
2157,"iskay Waranqa Pachak pisq’a Chunka qanchisniyoq"
2158,"iskay Waranqa Pachak pisq’a Chunka pusaqniyoq"
2159,"iskay Waranqa Pachak pisq’a Chunka isqonniyoq"
2160,"iskay Waranqa Pachak soqta Chunka"
2161,"iskay Waranqa Pachak soqta Chunka hukniyoq"
2162,"iskay Waranqa Pachak soqta Chunka iskayniyoq"
2163,"iskay Waranqa Pachak soqta Chunka kinsayoq"
2164,"iskay Waranqa Pachak soqta Chunka tawayoq"
2165,"iskay Waranqa Pachak soqta Chunka pisq’ayoq"
2166,"iskay Waranqa Pachak soqta Chunka soqtayoq"
2167,"iskay Waranqa Pachak soqta Chunka qanchisniyoq"
2168,"iskay Waranqa Pachak soqta Chunka pusaqniyoq"
2169,"iskay Waranqa Pachak soqta Chunka isqonniyoq"
2170,"iskay Waranqa Pachak qanchis Chunka"
2171,"iskay Waranqa Pachak qanchis Chunka hukniyoq"
2172,"iskay Waranqa Pachak qanchis Chunka iskayniyoq"
2173,"iskay Waranqa Pachak qanchis Chunka kinsayoq"
2174,"iskay Waranqa Pachak qanchis Chunka tawayoq"
2175,"iskay Waranqa Pachak qanchis Chunka pisq’ayoq"
2176,"iskay Waranqa Pachak qanchis Chunka soqtayoq"
2177,"iskay Waranqa Pachak qanchis Chunka qanchisniyoq"
2178,"iskay Waranqa Pachak qanchis Chunka pusaqniyoq"
2179,"iskay Waranqa Pachak qanchis Chunka isqonniyoq"
2180,"iskay Waranqa Pachak pusaq Chunka"
2181,"iskay Waranqa Pachak pusaq Chunka hukniyoq"
2182,"iskay Waranqa Pachak pusaq Chunka iskayniyoq"
2183,"iskay Waranqa Pachak pusaq Chunka kinsayoq"
2184,"iskay Waranqa Pachak pusaq Chunka tawayoq"
2185,"iskay Waranqa Pachak pusaq Chunka pisq’ayoq"
2186,"iskay Waranqa Pachak pusaq Chunka soqtayoq"
2187,"iskay Waranqa Pachak pusaq Chunka qanchisniyoq"
2188,"iskay Waranqa Pachak pusaq Chunka pusaqniyoq"
2189,"iskay Waranqa Pachak pusaq Chunka isqonniyoq"
2190,"iskay Waranqa Pachak isqon Chunka"
2191,"iskay Waranqa Pachak isqon Chunka hukniyoq"
2192,"iskay Waranqa Pachak isqon Chunka iskayniyoq"
2193,"iskay Waranqa Pachak isqon Chunka kinsayoq"
2194,"iskay Waranqa Pachak isqon Chunka tawayoq"
2195,"iskay Waranqa Pachak isqon Chunka pisq’ayoq"
2196,"iskay Waranqa Pachak isqon Chunka soqtayoq"
2197,"iskay Waranqa Pachak isqon Chunka qanchisniyoq"
2198,"iskay Waranqa Pachak isqon Chunka pusaqniyoq"
2199,"iskay Waranqa Pachak isqon Chunka isqonniyoq"
2200,"iskay Waranqa iskay Pachak"
2201,"iskay Waranqa iskay Pachak hukniyoq"
2202,"iskay Waranqa iskay Pachak iskayniyoq"
2203,"iskay Waranqa iskay Pachak kinsayoq"
2204,"iskay Waranqa iskay Pachak tawayoq"
2205,"iskay Waranqa iskay Pachak pisq’ayoq"
2206,"iskay Waranqa iskay Pachak soqtayoq"
2207,"iskay Waranqa iskay Pachak qanchisniyoq"
2208,"iskay Waranqa iskay Pachak pusaqniyoq"
2209,"iskay Waranqa iskay Pachak isqonniyoq"
2210,"iskay Waranqa iskay Pachak Chunka"
2211,"iskay Waranqa iskay Pachak Chunka hukniyoq"
2212,"iskay Waranqa iskay Pachak Chunka iskayniyoq"
2213,"iskay Waranqa iskay Pachak Chunka kinsayoq"
2214,"iskay Waranqa iskay Pachak Chunka tawayoq"
2215,"iskay Waranqa iskay Pachak Chunka pisq’ayoq"
2216,"iskay Waranqa iskay Pachak Chunka soqtayoq"
2217,"iskay Waranqa iskay Pachak Chunka qanchisniyoq"
2218,"iskay Waranqa iskay Pachak Chunka pusaqniyoq"
2219,"iskay Waranqa iskay Pachak Chunka isqonniyoq"
2220,"iskay Waranqa iskay Pachak iskay Chunka"
2221,"iskay Waranqa iskay Pachak iskay Chunka hukniyoq"
2222,"iskay Waranqa iskay Pachak iskay Chunka iskayniyoq"
2223,"iskay Waranqa iskay Pachak iskay Chunka kinsayoq"
2224,"iskay Waranqa iskay Pachak iskay Chunka tawayoq"
2225,"iskay Waranqa iskay Pachak iskay Chunka pisq’ayoq"
2226,"iskay Waranqa iskay Pachak iskay Chunka soqtayoq"
2227,"iskay Waranqa iskay Pachak iskay Chunka qanchisniyoq"
2228,"iskay Waranqa iskay Pachak iskay Chunka pusaqniyoq"
2229,"iskay Waranqa iskay Pachak iskay Chunka isqonniyoq"
2230,"iskay Waranqa iskay Pachak kinsa Chunka"
2231,"iskay Waranqa iskay Pachak kinsa Chunka hukniyoq"
2232,"iskay Waranqa iskay Pachak kinsa Chunka iskayniyoq"
2233,"iskay Waranqa iskay Pachak kinsa Chunka kinsayoq"
2234,"iskay Waranqa iskay Pachak kinsa Chunka tawayoq"
2235,"iskay Waranqa iskay Pachak kinsa Chunka pisq’ayoq"
2236,"iskay Waranqa iskay Pachak kinsa Chunka soqtayoq"
2237,"iskay Waranqa iskay Pachak kinsa Chunka qanchisniyoq"
2238,"iskay Waranqa iskay Pachak kinsa Chunka pusaqniyoq"
2239,"iskay Waranqa iskay Pachak kinsa Chunka isqonniyoq"
2240,"iskay Waranqa iskay Pachak tawa Chunka"
2241,"iskay Waranqa iskay Pachak tawa Chunka hukniyoq"
2242,"iskay Waranqa iskay Pachak tawa Chunka iskayniyoq"
2243,"iskay Waranqa iskay Pachak tawa Chunka kinsayoq"
2244,"iskay Waranqa iskay Pachak tawa Chunka tawayoq"
2245,"iskay Waranqa iskay Pachak tawa Chunka pisq’ayoq"
2246,"iskay Waranqa iskay Pachak tawa Chunka soqtayoq"
2247,"iskay Waranqa iskay Pachak tawa Chunka qanchisniyoq"
2248,"iskay Waranqa iskay Pachak tawa Chunka pusaqniyoq"
2249,"iskay Waranqa iskay Pachak tawa Chunka isqonniyoq"
2250,"iskay Waranqa iskay Pachak pisq’a Chunka"
2251,"iskay Waranqa iskay Pachak pisq’a Chunka hukniyoq"
2252,"iskay Waranqa iskay Pachak pisq’a Chunka iskayniyoq"
2253,"iskay Waranqa iskay Pachak pisq’a Chunka kinsayoq"
2254,"iskay Waranqa iskay Pachak pisq’a Chunka tawayoq"
2255,"iskay Waranqa iskay Pachak pisq’a Chunka pisq’ayoq"
2256,"iskay Waranqa iskay Pachak pisq’a Chunka soqtayoq"
2257,"iskay Waranqa iskay Pachak pisq’a Chunka qanchisniyoq"
2258,"iskay Waranqa iskay Pachak pisq’a Chunka pusaqniyoq"
2259,"iskay Waranqa iskay Pachak pisq’a Chunka isqonniyoq"
2260,"iskay Waranqa iskay Pachak soqta Chunka"
2261,"iskay Waranqa iskay Pachak soqta Chunka hukniyoq"
2262,"iskay Waranqa iskay Pachak soqta Chunka iskayniyoq"
2263,"iskay Waranqa iskay Pachak soqta Chunka kinsayoq"
2264,"iskay Waranqa iskay Pachak soqta Chunka tawayoq"
2265,"iskay Waranqa iskay Pachak soqta Chunka pisq’ayoq"
2266,"iskay Waranqa iskay Pachak soqta Chunka soqtayoq"
2267,"iskay Waranqa iskay Pachak soqta Chunka qanchisniyoq"
2268,"iskay Waranqa iskay Pachak soqta Chunka pusaqniyoq"
2269,"iskay Waranqa iskay Pachak soqta Chunka isqonniyoq"
2270,"iskay Waranqa iskay Pachak qanchis Chunka"
2271,"iskay Waranqa iskay Pachak qanchis Chunka hukniyoq"
2272,"iskay Waranqa iskay Pachak qanchis Chunka iskayniyoq"
2273,"iskay Waranqa iskay Pachak qanchis Chunka kinsayoq"
2274,"iskay Waranqa iskay Pachak qanchis Chunka tawayoq"
2275,"iskay Waranqa iskay Pachak qanchis Chunka pisq’ayoq"
2276,"iskay Waranqa iskay Pachak qanchis Chunka soqtayoq"
2277,"iskay Waranqa iskay Pachak qanchis Chunka qanchisniyoq"
2278,"iskay Waranqa iskay Pachak qanchis Chunka pusaqniyoq"
2279,"iskay Waranqa iskay Pachak qanchis Chunka isqonniyoq"
2280,"iskay Waranqa iskay Pachak pusaq Chunka"
2281,"iskay Waranqa iskay Pachak pusaq Chunka hukniyoq"
2282,"iskay Waranqa iskay Pachak pusaq Chunka iskayniyoq"
2283,"iskay Waranqa iskay Pachak pusaq Chunka kinsayoq"
2284,"iskay Waranqa iskay Pachak pusaq Chunka tawayoq"
2285,"iskay Waranqa iskay Pachak pusaq Chunka pisq’ayoq"
2286,"iskay Waranqa iskay Pachak pusaq Chunka soqtayoq"
2287,"iskay Waranqa iskay Pachak pusaq Chunka qanchisniyoq"
2288,"iskay Waranqa iskay Pachak pusaq Chunka pusaqniyoq"
2289,"iskay Waranqa iskay Pachak pusaq Chunka isqonniyoq"
2290,"iskay Waranqa iskay Pachak isqon Chunka"
2291,"iskay Waranqa iskay Pachak isqon Chunka hukniyoq"
2292,"iskay Waranqa iskay Pachak isqon Chunka iskayniyoq"
2293,"iskay Waranqa iskay Pachak isqon Chunka kinsayoq"
2294,"iskay Waranqa iskay Pachak isqon Chunka tawayoq"
2295,"iskay Waranqa iskay Pachak isqon Chunka pisq’ayoq"
2296,"iskay Waranqa iskay Pachak isqon Chunka soqtayoq"
2297,"iskay Waranqa iskay Pachak isqon Chunka qanchisniyoq"
2298,"iskay Waranqa iskay Pachak isqon Chunka pusaqniyoq"
2299,"iskay Waranqa iskay Pachak isqon Chunka isqonniyoq"
2300,"iskay Waranqa kinsa Pachak"
2301,"iskay Waranqa kinsa Pachak hukniyoq"
2302,"iskay Waranqa kinsa Pachak iskayniyoq"
2303,"iskay Waranqa kinsa Pachak kinsayoq"
2304,"iskay Waranqa kinsa Pachak tawayoq"
2305,"iskay Waranqa kinsa Pachak pisq’ayoq"
2306,"iskay Waranqa kinsa Pachak soqtayoq"
2307,"iskay Waranqa kinsa Pachak qanchisniyoq"
2308,"iskay Waranqa kinsa Pachak pusaqniyoq"
2309,"iskay Waranqa kinsa Pachak isqonniyoq"
2310,"iskay Waranqa kinsa Pachak Chunka"
2311,"iskay Waranqa kinsa Pachak Chunka hukniyoq"
2312,"iskay Waranqa kinsa Pachak Chunka iskayniyoq"
2313,"iskay Waranqa kinsa Pachak Chunka kinsayoq"
2314,"iskay Waranqa kinsa Pachak Chunka tawayoq"
2315,"iskay Waranqa kinsa Pachak Chunka pisq’ayoq"
2316,"iskay Waranqa kinsa Pachak Chunka soqtayoq"
2317,"iskay Waranqa kinsa Pachak Chunka qanchisniyoq"
2318,"iskay Waranqa kinsa Pachak Chunka pusaqniyoq"
2319,"iskay Waranqa kinsa Pachak Chunka isqonniyoq"
2320,"iskay Waranqa kinsa Pachak iskay Chunka"
2321,"iskay Waranqa kinsa Pachak iskay Chunka hukniyoq"
2322,"iskay Waranqa kinsa Pachak iskay Chunka iskayniyoq"
2323,"iskay Waranqa kinsa Pachak iskay Chunka kinsayoq"
2324,"iskay Waranqa kinsa Pachak iskay Chunka tawayoq"
2325,"iskay Waranqa kinsa Pachak iskay Chunka pisq’ayoq"
2326,"iskay Waranqa kinsa Pachak iskay Chunka soqtayoq"
2327,"iskay Waranqa kinsa Pachak iskay Chunka qanchisniyoq"
2328,"iskay Waranqa kinsa Pachak iskay Chunka pusaqniyoq"
2329,"iskay Waranqa kinsa Pachak iskay Chunka isqonniyoq"
2330,"iskay Waranqa kinsa Pachak kinsa Chunka"
2331,"iskay Waranqa kinsa Pachak kinsa Chunka hukniyoq"
2332,"iskay Waranqa kinsa Pachak kinsa Chunka iskayniyoq"
2333,"iskay Waranqa kinsa Pachak kinsa Chunka kinsayoq"
2334,"iskay Waranqa kinsa Pachak kinsa Chunka tawayoq"
2335,"iskay Waranqa kinsa Pachak kinsa Chunka pisq’ayoq"
2336,"iskay Waranqa kinsa Pachak kinsa Chunka soqtayoq"
2337,"iskay Waranqa kinsa Pachak kinsa Chunka qanchisniyoq"
2338,"iskay Waranqa kinsa Pachak kinsa Chunka pusaqniyoq"
2339,"iskay Waranqa kinsa Pachak kinsa Chunka isqonniyoq"
2340,"iskay Waranqa kinsa Pachak tawa Chunka"
2341,"iskay Waranqa kinsa Pachak tawa Chunka hukniyoq"
2342,"iskay Waranqa kinsa Pachak tawa Chunka iskayniyoq"
2343,"iskay Waranqa kinsa Pachak tawa Chunka kinsayoq"
2344,"iskay Waranqa kinsa Pachak tawa Chunka tawayoq"
2345,"iskay Waranqa kinsa Pachak tawa Chunka pisq’ayoq"
2346,"iskay Waranqa kinsa Pachak tawa Chunka soqtayoq"
2347,"iskay Waranqa kinsa Pachak tawa Chunka qanchisniyoq"
2348,"iskay Waranqa kinsa Pachak tawa Chunka pusaqniyoq"
2349,"iskay Waranqa kinsa Pachak tawa Chunka isqonniyoq"
2350,"iskay Waranqa kinsa Pachak pisq’a Chunka"
2351,"iskay Waranqa kinsa Pachak pisq’a Chunka hukniyoq"
2352,"iskay Waranqa kinsa Pachak pisq’a Chunka iskayniyoq"
2353,"iskay Waranqa kinsa Pachak pisq’a Chunka kinsayoq"
2354,"iskay Waranqa kinsa Pachak pisq’a Chunka tawayoq"
2355,"iskay Waranqa kinsa Pachak pisq’a Chunka pisq’ayoq"
